 Projeção da População das Unidades da Federação por sexo, idade simples ou faixa-etária: 2010-2060 (edição 2018)
População residente por Região/Unidade da Federação e Ano
Período:2010-2060
"Região/Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050";"2051";"2052";"2053";"2054";"2055";"2056";"2057";"2058";"2059";"2060"
".. Goiás";6111792;6214241;6316302;6417591;6520857;6625528;6726130;6824504;6923655;7020904;7116143;7209247;7300083;7388558;7474621;7558218;7639325;7717928;7793996;7867535;7938596;8007509;8074550;8139722;8203076;8264652;8324460;8382474;8438672;8493054;8545629;8596405;8645354;8692452;8737674;8780975;8822329;8861729;8899155;8934557;8967883;8999139;9028359;9055541;9080667;9103727;9124748;9143789;9160881;9176042;9189311
".. Distrito Federal";2639212;2681052;2722198;2763488;2805774;2848633;2890224;2931057;2972209;3012718;3052546;3091667;3130014;3167502;3204070;3239675;3274291;3307883;3340408;3371845;3402180;3431469;3459755;3487020;3513254;3538436;3562521;3585467;3607260;3627893;3647352;3665603;3682634;3698469;3713123;3726600;3738900;3750030;3760007;3768831;3776493;3782994;3788348;3792555;3795598;3797474;3798193;3797772;3796218;3793533;3789728
"Total";194890682;196603732;198314934;200004188;201717541;203475683;205156587;206804741;208494900;210147125;211755692;213317639;214828540;216284269;217684462;219029093;220316530;221545234;222713669;223821305;224868462;225854415;226777802;227638581;228437122;229173685;229847832;230459062;231007871;231494650;231919922;232284233;232588580;232834065;233020996;233149625;233220257;233233670;233190482;233090464;232933276;232719169;232448867;232122448;231739632;231300323;230805223;230255685;229652286;228995541;228286347
 Fonte:
 
  IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil
 e Unidades da Federação por sexo e idade para o período 2010-2060 (edição 2018)
  Estes dados de Projeção da População das Unidades da Federação por sexo, idade simples ou faixa-etária: 2010-2060 (edição 2018) são dados históricos.
 Para consultar os dados atuais, acesse
 http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/projpop2024uf.def
 
